Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-027465,Rose Andom Health Center,1330 Fox St,Denver,CO,80204-2602,720-337-4419,,40,7,All Other Clinic Types,1,Active,61020,1295293579,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/27/2019,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9952733,39.73762067,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24176,08E00518,BPS-H80-027848,River Valley Family Health Center of Montrose,1010 S Rio Grande Ave,Montrose,CO,81401-4831,970-497-3333,,55.25,7,All Other Clinic Types,1,Active,61961,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/7/2019,"OLATHE COMMUNITY CLINIC, INC.",308 Main St,Olathe,CO,81425-5066,"Corporate Entity, Federal Tax Exempt",-107.8743159,38.46811966,N,N,8085,Montrose County,Montrose,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00801,80130,BPS-H80-027023,Salud Fort Morgan Middle School,605 Education Ave,Fort Morgan,CO,80701-8806,303-697-2583,www.saludclinic.org,6,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/27/2018,"SALUD FAMILY HEALTH, INC.",203 S Rollie Ave,Fort Lupton,CO,80621-1508,"Corporate Entity, Federal Tax Exempt",-103.808624,40.23849701,N,N,8087,Morgan County,Morgan,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00214,84100,BPS-H80-000756,Family Health Center,200 Kendall Dr,Lamar,CO,81052-3940,719-336-8445,www.highplainschc.net,42.5,7,All Other Clinic Types,1,Active,61939,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/7/1997,HIGH PLAINS COMMUNITY HEALTH CENTER,201 Kendall Dr,Lamar,CO,81052,"Corporate Entity, Federal Tax Exempt",-102.6105803,38.06885072,N,N,8099,Prowers County,Prowers,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-000759,STRIDE CHC  -  Rose Stein Elementary School,80 S Teller St,Lakewood,CO,80226-2044,303-238-2662,www.mcpn.org,17,2,School,1,Active,61048,1326203399,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/9/1995,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-105.0768081,39.71539543,N,N,8059,Jefferson County,Jefferson,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-000877,Cesar E. Chavez Medical Center,186 Hurt St,Center,CO,81125-9002,719-754-2778,www.vwhs.org,45.5,7,All Other Clinic Types,1,Active,61818,1407843576,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1996,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-106.1110316,37.75658393,N,N,8109,Saguache County,Saguache,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-000897,Rocky Ford Clinic or Rocky Ford Dental Clinic,903 S 12th St,Rocky Ford,CO,81067-2127,719-254-7623,WWW.VWHS.ORG,51.5,7,All Other Clinic Types,1,Active,61858,1104813682,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/4/1997,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-103.7200815,38.0446844,N,N,8089,Otero County,Otero,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26510,08E00393,BPS-H80-037703,Axis Health System Montrose,605 Miami Rd,Montrose,CO,81401-4108,970-252-3200,,49,7,All Other Clinic Types,1,Active,61059,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/2/2023,"SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC",150 Mercury Village Dr,Durango,CO,81301-8955,"Corporate Entity, Federal Tax Exempt",-107.8595983,38.48176079,N,N,8085,Montrose County,Montrose,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00040,80620,BPS-H80-000982,2100 Broadway Services Builiding,2100 N Broadway,Denver,CO,80205,303-297-4091,www.coloradocoalition.org,40,7,All Other Clinic Types,1,Active,61955,1346621208,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1986,THE COLORADO COALITION FOR THE HOMELESS,2111 Champa St,Denver,CO,80205-2529,"Corporate Entity, Federal Tax Exempt",-104.9872856,39.75070371,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-034922,Ryan Elementary School,1405 Centaur Village Dr,Lafayette,CO,80026-1471,303-650-4460,www.clinica.org,1.72,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/1/2022,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.1098463,39.98026453,N,N,8013,Boulder County,Boulder,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-032778,Pediatric Emergency Department and Urgent Care,777 Bannock St,Denver,CO,80204-4507,303-602-2273,www.denverhealth.org,168,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/21/2021,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9902931,39.72800529,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-001182,"Valley-Wide Health Systems, Inc., Administrative Services Building, Alamosa Dental Clinic, Counseling and Support Center",128 Market St,Alamosa,CO,81101-2290,719-587-1000,www.vwhs.org,57,7,All Other Clinic Types,1,Active,,1154318236,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/7/1976,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-105.8911247,37.47526567,N,N,8003,Alamosa County,Alamosa,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-001209,Mobile Health Clinic 1,777 Bannock St,Denver,CO,80204-4507,720-956-2033,www.denverhealth.org,40,7,All Other Clinic Types,1,Active,61876,1841231990,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/9/2002,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9902931,39.72800529,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS10610,8.00E+68,BPS-H80-007679,Northwest Colorado Health Community Health Center  -  Moffat County,745 Russell St,Craig,CO,81625-2019,970-824-8233,www.northwestcoloradohealth.org,47,7,All Other Clinic Types,1,Active,61905,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,1,Year-Round,8/1/2008,NORTHWEST COLORADO VISITING NURSE ASSOCIATION,940 Central Park Dr,Steamboat Springs,CO,80487-8816,"Corporate Entity, Federal Tax Exempt",-107.5459992,40.51913628,N,N,8081,Moffat County,Moffat,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00692,80170,BPS-H80-027849,Chavez/Huerta K-12 Preparatory Academy,2727 W 18th St,Pueblo,CO,81003-1185,719-543-8718,,27,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/7/2019,PUEBLO COMMUNITY HEALTH CENTER,310 Colorado Ave,Pueblo,CO,81004-2006,"Corporate Entity, Federal Tax Exempt",-104.651143,38.28402512,N,N,8101,Pueblo County,Pueblo,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-001301,Lake Campus,1820 Lowell Blvd,Denver,CO,80204-1549,720-424-0281,www.denverhealth.org,40,2,School,1,Active,,1144242900,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1997,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-105.0345988,39.74634192,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-034088,Sanford School District,755 2nd St,Sanford,CO,81151-5095,719-274-5167,,32,2,School,1,Active,,1770242323,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/13/2022,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-105.9076194,37.25713616,N,N,8021,Conejos County,Conejos,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-034449,STRIDE CHC - Mobile Health Unit #2,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,303-778-7433,https://stridechc.org,8,7,All Other Clinic Types,1,Active,61933,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,4/13/2022,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-105.0810023,39.75851139,N,N,8059,Jefferson County,Jefferson,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-012242,Evie Garrett Dennis Campus,4800 Telluride St,Denver,CO,80249-6803,720-423-7610,,40,2,School,1,Active,,1528337755,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,2,Seasonal,12/25/2012,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.7815965,39.78431081,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00040,80620,BPS-H80-034852,Stout Street Recuperative Care Center & Legacy Lofts,2175 California St,Denver,CO,80205-5397,303-312-9559,,168,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/24/2022,THE COLORADO COALITION FOR THE HOMELESS,2111 Champa St,Denver,CO,80205-2529,"Corporate Entity, Federal Tax Exempt",-104.9854384,39.7504338,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-001731,Health Center at Myron Stratton,410 Gold Pass Hts,Colorado Springs,CO,80906-3882,719-632-5700,www.peakvista.org,52.5,7,All Other Clinic Types,1,Active,61904,1659674034,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,9/6/2007,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.8201718,38.79351064,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-001927,Kepner Campus,911 S Hazel Ct,Denver,CO,80219-3418,720-424-0126,www.denverhealth.org,40,2,School,1,Active,,1427161371,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/3/2007,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-105.0274482,39.70003153,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-036983,Valley-Wide Peer 404,957 Swink Ave,Rocky Ford,CO,81067-1349,800-511-5446,,42,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,7/25/2023,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-103.7187448,38.05438183,N,N,8089,Otero County,Otero,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-007659,Convenient Care Community Clinic,1131 Main St,Alamosa,CO,81101-2446,719-589-2562,www.vwhs.org,80,7,All Other Clinic Types,1,Active,61902,1568627941,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,9/1/2008,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-105.8738987,37.46821012,N,N,8003,Alamosa County,Alamosa,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-012015,STRIDE CHC  -  Wheat Ridge,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,303-761-1100,www.mcpn.org,55,7,All Other Clinic Types,1,Active,61933,1184961492,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,9/12/2012,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-105.0810023,39.75851139,N,N,8059,Jefferson County,Jefferson,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-029461,STRIDE CHC  -  Oneida,2255 S Oneida St,Denver,CO,80224-2522,303-761-1977,www.stridechc.org,8,7,All Other Clinic Types,1,Active,2M3380,1477679959,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/26/2019,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-104.9088954,39.67618652,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26510,08E00393,BPS-H80-014920,Cortez Integrated Healthcare,691 E Empire St,Cortez,CO,81321-2802,970-565-7946,www.axishealthsystem.org,55,7,All Other Clinic Types,1,Active,61956,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/5/2015,"SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC",150 Mercury Village Dr,Durango,CO,81301-8955,"Corporate Entity, Federal Tax Exempt",-108.576625,37.35613352,N,N,8083,Montezuma County,Montezuma,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-002447,Montbello Campus,5000 Crown Blvd,Denver,CO,80239-4378,720-423-5808,www.denverhealth.org,40,2,School,1,Active,,1376565143,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1993,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.829001,39.7874207,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-002564,Bruce Randolph Campus,3955 N Steele St,Denver,CO,80205-3613,720-424-1232,www.denverhealth.org,40,2,School,1,Active,,1336252287,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/3/2007,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9510495,39.77094071,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS10610,8.00E+68,BPS-H80-019042,Northwest Colorado Health Dental Clinic  -  Craig,485 Yampa Ave,Craig,CO,81625-2609,970-824-8000,www.northwestcoloradohealth.org,45,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/21/2016,NORTHWEST COLORADO VISITING NURSE ASSOCIATION,940 Central Park Dr,Steamboat Springs,CO,80487-8816,"Corporate Entity, Federal Tax Exempt",-107.5472286,40.51388583,N,N,8081,Moffat County,Moffat,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-031018,The Place,423 E Cucharras St STE 2,Colorado Springs,CO,80903-3609,719-630-3223,,45,7,All Other Clinic Types,1,Active,,1912515735,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/15/2020,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.8171553,38.83085063,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00801,80130,BPS-H80-027025,Salud Sherman Early Childhood Center,300 Sherman St,Fort Morgan,CO,80701-3624,303-697-2583,www.saludclinic.org,6,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/27/2018,"SALUD FAMILY HEALTH, INC.",203 S Rollie Ave,Fort Lupton,CO,80621-1508,"Corporate Entity, Federal Tax Exempt",-103.7920495,40.25044554,N,N,8087,Morgan County,Morgan,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-012709,Convenient Care Center,3205 N Academy Blvd STE 100,Colorado Springs,CO,80917-5147,719-632-5700,www.peakvista.org,68,7,All Other Clinic Types,1,Active,61948,1689977365,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,7/10/2013,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.7569311,38.8784826,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS10610,8.00E+68,BPS-H80-011699,Northwest Colorado Health Community Health Center  -  Routt County,"940 Central Park Dr, Ste 101",Steamboat Springs,CO,80487-8853,970-879-1632,www.northwestcoloradohealth.org,46,7,All Other Clinic Types,1,Active,810326,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,6/12/2012,NORTHWEST COLORADO VISITING NURSE ASSOCIATION,940 Central Park Dr,Steamboat Springs,CO,80487-8816,"Corporate Entity, Federal Tax Exempt",-106.815999,40.46192456,N,N,8107,Routt County,Routt,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00830,81260,BPS-H80-002901,MOUNTAIN FAMILY HEALTH CENTERS GLENWOOD SPRINGS,"1905 Blake Ave, Ste 101",Glenwood Springs,CO,81601-4206,970-945-2840,WWW.MOUNTAINFAMILY.ORG,50,7,All Other Clinic Types,1,Active,61872,1114088762,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,10/19/1999,MOUNTAIN FAMILY HEALTH CENTERS,"1905 Blake Ave, Ste 101",Glenwood Springs,CO,81601-4206,"Corporate Entity, Federal Tax Exempt",-107.3228799,39.53239011,N,N,8045,Garfield County,Garfield,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00804,80140,BPS-H80-030229,Bond Children's Clinic,111 E 26th St,Greeley,CO,80631-7300,970-702-2675,,40,2,School,1,Active,,1033762703,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/21/2020,SUNRISE COMMUNITY HEALTH,2930 11th Ave,Evans,CO,80620-1011,"Corporate Entity, Federal Tax Exempt",-104.6767776,40.39554002,N,N,8123,Weld County,Weld,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-002904,West Campus,951 Elati St,Denver,CO,80204-3939,720-423-5456,www.denverhealth.org,40,2,School,1,Active,,1538181318,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1998,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9941032,39.731356,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-031179,The Pulse School-Based Health Center,1215 Main St STE B,Canon City,CO,81212-3505,719-275-2301,,40,2,School,1,Active,61019,1225640931,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/17/2020,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-105.2308629,38.44524528,N,N,8043,Fremont County,Fremont,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00040,80620,BPS-H80-003120,Renaissance at Civic Center Apartments,25 E 16th Ave,Denver,CO,80202-5195,303-764-2100,www.coloradocoalition.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/7/1994,THE COLORADO COALITION FOR THE HOMELESS,2111 Champa St,Denver,CO,80205-2529,"Corporate Entity, Federal Tax Exempt",-104.9865198,39.74174214,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
