state,abbrev,county,ColdWaveExposureImpactedAreasqmi,ColdWaveHistoricLossRatioTotalRating,ColdWaveExpectedAnnualLossRating,ColdWaveHazardTypeRiskIndexRating,DroughtExposureImpactedAreasqmi,DroughtHistoricLossRatioTotalRating,DroughtExpectedAnnualLossRating,DroughtHazardTypeRiskIndexRating,HailNumberofEvents,HailAnnualizedFrequency,HailExposureImpactedAreasqmi,HailExposureBuildingValue,HailExposurePopulation,HailExposureTotal,HailHistoricLossRatioTotalRating,HailExpectedAnnualLossBuildingValue,HailExpectedAnnualLossTotal,HailExpectedAnnualLossScore,HailExpectedAnnualLossRating,HailHazardTypeRiskIndexValue,HailHazardTypeRiskIndexScore,HailHazardTypeRiskIndexRating,HeatWaveExposureImpactedAreasqmi,HeatWaveHistoricLossRatioTotalRating,HeatWaveExpectedAnnualLossRating,HeatWaveHazardTypeRiskIndexRating,IceStormAnnualizedFrequency,IceStormExposureImpactedAreasqmi,IceStormExposureBuildingValue,IceStormExposurePopulation,IceStormExposureTotal,IceStormHistoricLossRatioTotalRating,IceStormExpectedAnnualLossBuildingValue,IceStormExpectedAnnualLossTotal,IceStormExpectedAnnualLossScore,IceStormExpectedAnnualLossRating,IceStormHazardTypeRiskIndexValue,IceStormHazardTypeRiskIndexScore,IceStormHazardTypeRiskIndexRating,LandslideHistoricLossRatioTotalRating,LandslideExpectedAnnualLossRating,LandslideHazardTypeRiskIndexRating,LightningNumberofEvents,LightningAnnualizedFrequency,LightningExposureImpactedAreasqmi,LightningExposureBuildingValue,LightningExposurePopulation,LightningExposureTotal,LightningHistoricLossRatioTotalRating,LightningExpectedAnnualLossBuildingValue,LightningExpectedAnnualLossTotal,LightningExpectedAnnualLossScore,LightningExpectedAnnualLossRating,LightningHazardTypeRiskIndexValue,LightningHazardTypeRiskIndexScore,LightningHazardTypeRiskIndexRating,RiverineFloodingHistoricLossRatioTotalRating,RiverineFloodingExpectedAnnualLossRating,RiverineFloodingHazardTypeRiskIndexRating,StrongWindNumberofEvents,StrongWindAnnualizedFrequency,StrongWindExposureImpactedAreasqmi,StrongWindExposureBuildingValue,StrongWindExposurePopulation,StrongWindExposureTotal,StrongWindHistoricLossRatioTotalRating,StrongWindExpectedAnnualLossBuildingValue,StrongWindExpectedAnnualLossTotal,StrongWindExpectedAnnualLossScore,StrongWindExpectedAnnualLossRating,StrongWindHazardTypeRiskIndexValue,StrongWindHazardTypeRiskIndexScore,StrongWindHazardTypeRiskIndexRating,TornadoAnnualizedFrequency,TornadoExposureImpactedAreasqmi,TornadoExposureBuildingValue,TornadoExposurePopulation,TornadoExposureTotal,TornadoHistoricLossRatioTotalRating,TornadoExpectedAnnualLossBuildingValue,TornadoExpectedAnnualLossTotal,TornadoExpectedAnnualLossScore,TornadoExpectedAnnualLossRating,TornadoHazardTypeRiskIndexValue,TornadoHazardTypeRiskIndexScore,TornadoHazardTypeRiskIndexRating,WinterWeatherNumberofEvents,WinterWeatherAnnualizedFrequency,WinterWeatherExposureImpactedAreasqmi,WinterWeatherExposureBuildingValue,WinterWeatherExposurePopulation,WinterWeatherExposureTotal,WinterWeatherHistoricLossRatioTotalRating,WinterWeatherExpectedAnnualLossBuildingValue,WinterWeatherExpectedAnnualLossTotal,WinterWeatherExpectedAnnualLossScore,WinterWeatherExpectedAnnualLossRating,WinterWeatherHazardTypeRiskIndexValue,WinterWeatherHazardTypeRiskIndexScore,WinterWeatherHazardTypeRiskIndexRating
Colorado,CO,Pueblo,2421.972,Very Low,Relatively Moderate,Relatively High,2421.972,Very Low,Very Low,Very Low,139,4.081,2421.972,24996485111,168034,1970000000000,Relatively High,6152076.179,6341220.68,98.604,Relatively High,7761206.362,98.727,Relatively High,2421.972,No Rating,No Expected Annual Losses,No Rating,0.015,2421.972,24996485111,168034,1970000000000,Relatively High,80817.929,111181.44,63.458,Relatively Moderate,135803.584,64.957,Relatively Moderate,Very Low,Relatively Low,Relatively Low,752,34.176,2421.972,24996485111,168034,1970000000000,Relatively Low,44786.101,203939.315,73.81,Relatively Moderate,247610.007,74.228,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,19,0.552,2421.972,24996485111,168034,1970000000000,Relatively Low,142878.657,218118.264,39.268,Relatively Low,267275.789,38.403,Relatively Low,0.816,2421.972,24996485111,168034,1970000000000,Very Low,1070638.212,2403249.833,74.721,Relatively Moderate,2954903.053,74.642,Relatively Moderate,31.649,1.96,2421.972,24996485111,168034,1970000000000,Very Low,850.785,13150.781,22.501,Relatively Low,15958.41,20.14,Very Low
Colorado,CO,Rio Blanco,3255.386,Relatively Low,Relatively Low,Relatively Low,3255.386,Very Low,Very Low,Very Low,5,0.139,3255.386,2390961512,6520,78044463829,Relatively High,15595.851,16446.902,19.51,Very Low,21629.797,19.122,Very Low,3255.386,Relatively High,Very Low,Very Low,0.015,3255.386,2390961512,6520,78022961512,Very High,7730.389,8908.544,20.32,Very Low,11461.906,20.686,Very Low,Relatively Low,Relatively Low,Relatively Low,501,22.738,3255.386,2390961512,6520,78022961512,Very High,31.779,79653.001,46.686,Relatively Low,102991.534,48.777,Relatively Low,Very Low,Relatively Low,Relatively Low,10,0.279,3255.386,2390961512,6520,78044463829,Relatively Moderate,9271.078,20349.55,9.243,Very Low,27015.734,7.509,Very Low,0.112,3255.386,2390961512,6520,78044463829,Very Low,6757.393,9538.919,4.994,Very Low,12241.069,4.136,Very Low,176.779,10.946,3255.386,2390961512,6520,78044463829,Very Low,458.358,2192.584,6.995,Very Low,2914.503,4.55,Very Low
Colorado,CO,Rio Grande,921.547,Relatively Low,Relatively Low,Relatively Moderate,921.547,Very Low,Relatively Low,Relatively Low,10,0.294,921.547,4081830835,11498,138000000000,Relatively High,29718.368,42067.427,35.546,Very Low,61251.801,37.289,Very Low,921.547,No Rating,No Expected Annual Losses,No Rating,0.015,921.547,4081830835,11498,137000000000,Relatively Moderate,26.867,2104.54,6.496,Very Low,3339.713,7.695,Very Low,Relatively Low,Relatively Low,Relatively Low,357,16.226,921.547,4081830835,11498,137000000000,Relatively Moderate,1205.441,16119.606,10.553,Very Low,23723.16,13.707,Very Low,Relatively Moderate,Relatively Low,Relatively Low,2,0.046,921.547,4081830835,11498,138000000000,Relatively Moderate,330.534,4828.79,4.715,Very Low,7536.865,2.8,Very Low,0.057,921.547,4081830835,11498,138000000000,Relatively Low,37912.402,66232.035,13.462,Very Low,101584.07,12.854,Very Low,106.586,6.6,921.547,4081830835,11498,138000000000,Very Low,1135.654,2981.941,8.295,Very Low,3966.727,6.332,Very Low
Colorado,CO,Routt,2392.039,Relatively Low,Relatively Low,Relatively Low,2392.039,Very Low,Very Low,Very Low,3,0.084,2392.039,6288873377,24767,294000000000,Relatively Low,1606.075,2033.146,5.738,Very Low,1830.697,2.927,Very Low,2392.039,No Rating,No Expected Annual Losses,No Rating,0.015,2392.039,6288873377,24767,294000000000,Relatively High,828.101,13401.232,24.75,Very Low,12363.269,21.452,Very Low,Very Low,Relatively Moderate,Relatively Moderate,527,23.943,2392.039,6288873377,24767,294000000000,Relatively High,3747.426,250474.864,77.606,Relatively Moderate,232330.955,72.844,Relatively Moderate,Very Low,Relatively Low,Relatively Low,7,0.185,2392.039,6288873377,24767,294000000000,Relatively Moderate,7731.547,37681.455,13.182,Very Low,34696.026,8.622,Very Low,0.048,2392.039,6288873377,24767,294000000000,Very Low,10189.497,19632.388,7.568,Very Low,17622.213,4.804,Very Low,299.564,18.549,2392.039,6288873351,24766.999,294000000000,Very Low,323.17,1674.778,6.19,Very Low,1495.06,3.213,Very Low
Colorado,CO,Saguache,3202.291,Relatively Low,Relatively Low,Relatively Moderate,3202.291,Very Low,Relatively Low,Relatively Low,21,0.599,3202.291,1841417769,6323,75309107322,Relatively High,29852.029,49430.823,38.586,Very Low,72050.707,41.075,Very Low,3202.291,No Rating,No Expected Annual Losses,No Rating,0.015,3202.291,1841417769,6323,75188217769,Relatively High,5953.62,7096.177,17.022,Very Low,10263.238,18.921,Very Low,Relatively High,Relatively Low,Relatively Low,403,18.279,3202.291,1841417769,6323,75188217769,Relatively High,1110.604,34395.528,22.812,Very Low,48403.859,25.837,Very Low,Relatively Moderate,Very Low,Very Low,3,0.064,3202.291,1841417769,6323,75309107322,Relatively Moderate,4511.619,5483.698,5.056,Very Low,7851.604,2.895,Very Low,0.253,3202.291,1841417769,6323,75309107322,Very Low,21803.855,33487.231,9.46,Very Low,48086.074,8.591,Very Low,66.631,4.126,3202.291,1841417769,6323,75309107322,Very Low,531.38,2007.599,6.654,Very Low,2814.274,4.423,Very Low
Colorado,CO,San Juan,392.222,No Rating,No Expected Annual Losses,No Rating,392.222,No Rating,No Expected Annual Losses,No Rating,5,0.119,392.222,353411005,699,8461811005,Relatively High,793.23,853.619,4.187,Very Low,936.631,2.004,Very Low,392.222,No Rating,No Expected Annual Losses,No Rating,0.015,392.222,353411005,699,8461811005,Very High,1142.638,1268.947,4.297,Very Low,1392.348,3.764,Very Low,Relatively Moderate,Relatively High,Relatively High,512,23.228,392.222,353411005,699,8461811005,Relatively High,324.699,3292.237,1.544,Very Low,3612.397,1.544,Very Low,Relatively Low,Very Low,Very Low,4,0.103,392.222,353411005,699,8461811005,Relatively Moderate,349.75,1027.675,3.598,Very Low,1127.613,1.05,Very Low,0.008,392.222,353411005,699,8461811005,Relatively High,1202.269,1996.077,1.861,Very Low,2190.19,1.75,Very Low,381.979,23.652,392.222,353411005,699,8461811005,Very Low,1867.321,4098.854,10.275,Very Low,4497.455,6.936,Very Low
Colorado,CO,San Miguel,1301.746,No Rating,No Expected Annual Losses,No Rating,1301.746,Very Low,Very Low,Very Low,5,0.121,1301.746,2902061320,8002,95732572273,Relatively Moderate,4641.559,5408.333,9.615,Very Low,4849.722,6.013,Very Low,1301.746,Relatively Low,Very Low,Very Low,0.015,1301.746,2902061320,8002,95725261320,Very High,9382.863,10828.813,22.052,Very Low,9754.556,18.421,Very Low,Relatively Low,Very High,Very High,672,30.532,1301.746,2902061320,8002,95725261320,Relatively High,520.152,51273.204,32.4,Relatively Low,45027.58,24.099,Very Low,Very Low,Relatively Low,Relatively Low,4,0.112,1301.746,2902061320,8002,95732572273,Relatively Low,1630.731,3867.304,4.404,Very Low,3425.772,1.559,Very Low,0.023,1301.746,2902061320,8002,95732572273,Relatively Low,6321.73,11734.899,5.614,Very Low,10414.6,3.786,Very Low,146.037,9.043,1301.746,2902061320,8002,95732572273,Relatively Low,1405.291,21983.495,32.343,Relatively Low,19530.297,23.863,Very Low
Colorado,CO,Sedgwick,554.95,Relatively Low,Relatively Low,Relatively Low,554.95,Very Low,Relatively Low,Relatively Low,255,7.486,554.95,995219326,2395,28884832501,Very High,285763.767,567790.319,83.437,Relatively Moderate,851297.503,86.892,Relatively Moderate,554.95,No Rating,No Expected Annual Losses,No Rating,0.113,554.95,995219326,2395,28777219326,Relatively Moderate,2502.044,6352.238,15.823,Very Low,9524.016,18.055,Very Low,Very High,Very Low,Very Low,757,34.4,554.95,995219326,2395,28777219326,Relatively Moderate,2622.028,14447.369,9.17,Very Low,21661.182,12.42,Very Low,Relatively High,Relatively Low,Relatively Low,81,2.38,554.95,995219326,2395,28884832501,Very High,307818.07,411254.112,58.685,Relatively Moderate,616600.155,65.702,Relatively Moderate,0.532,554.95,995219326,2395,28884832501,Relatively Moderate,179922.83,292712.887,27.047,Very Low,438869.318,28.094,Relatively Low,60,3.715,554.95,995219326,2395,28884832501,Relatively High,25696.699,64401.374,57.258,Relatively Moderate,96558.055,62.615,Relatively Moderate
Colorado,CO,Summit,625.511,Very Low,Relatively Moderate,Relatively Moderate,625.511,No Rating,No Expected Annual Losses,No Rating,81,2.359,625.511,10888428043,31040,371000000000,Relatively High,1169576.543,1196915.869,91.532,Relatively Moderate,1123566.758,89.787,Relatively Moderate,625.511,No Rating,No Expected Annual Losses,No Rating,0.015,625.511,10888428043,31040,371000000000,Relatively High,9239.878,24523.45,34.71,Relatively Low,23247.127,30.646,Relatively Low,Very Low,Relatively High,Relatively High,446,20.23,625.511,10888428043,31040,371000000000,Very High,1867.689,352331.885,83.494,Relatively Moderate,335471.262,80.148,Relatively Moderate,Relatively Moderate,Very Low,Very Low,16,0.442,625.511,10888428043,31040,371000000000,Relatively Moderate,65546.282,156851.236,31.7,Relatively Low,148576.458,24.976,Relatively Low,0.079,625.511,10888428043,31040,371000000000,Relatively Moderate,302962.987,349362.112,29.404,Relatively Low,329041.059,24.435,Very Low,189.043,11.705,625.511,10888428043,31040,371000000000,Very Low,8124.068,19657.709,29.712,Relatively Low,18071.241,22.304,Very Low
Colorado,CO,Teller,564.633,Very Low,Relatively Low,Relatively Low,564.633,No Rating,No Expected Annual Losses,No Rating,204,5.994,564.633,4096878357,24661,290000000000,Relatively Moderate,1128176.65,1142537.509,91.036,Relatively Moderate,1114097.351,89.564,Relatively Moderate,564.633,No Rating,No Expected Annual Losses,No Rating,0.015,564.633,4096878357,24661,290000000000,Relatively High,13245.911,17702.12,28.548,Relatively Low,17175.835,25.849,Very Low,Very Low,Relatively Low,Relatively Low,1505,68.379,564.633,4096878357,24661,290000000000,Very High,15599.652,910640.205,94.53,Relatively High,877746.427,93.34,Relatively High,Relatively Low,Very Low,Very Low,24,0.688,564.633,4096878357,24661,290000000000,Relatively Moderate,54024.809,152301.213,30.924,Relatively Low,147501.12,24.913,Relatively Low,0.283,564.633,4096878357,24661,290000000000,Relatively Low,278777.15,557466.47,37.624,Relatively Low,542051.025,31.467,Relatively Low,89.32,5.531,564.633,4096878357,24661,290000000000,Relatively Low,4364.489,89040.022,65.955,Relatively Moderate,85479.359,59.529,Relatively Low
Colorado,CO,Washington,2549.436,Relatively Low,Relatively Moderate,Relatively Moderate,2549.436,Very Low,Relatively Low,Relatively Low,234,6.879,2549.436,1525217888,4806,57486353223,Relatively Moderate,7821.124,146924.177,61.383,Relatively Low,157837.414,58.479,Relatively Low,2549.436,No Rating,No Expected Annual Losses,No Rating,0.09,2549.436,1525217888,4806,57274817888,Relatively High,8561.144,26956.248,36.342,Relatively Low,29224.958,34.444,Relatively Low,Relatively High,Very Low,Very Low,669,30.395,2549.436,1525217888,4806,57274817888,Relatively Moderate,1711.087,23417.617,15.734,Very Low,25339.243,14.575,Very Low,Relatively Moderate,Relatively Low,Relatively Low,66,1.928,2549.436,1525217888,4806,57486353223,Relatively High,175423.891,276367.527,46.867,Relatively Low,298015.68,41.457,Relatively Low,4.212,2549.436,1525217888,4806,57486353223,Very Low,340962.116,419556.551,32.382,Relatively Low,452557.611,28.699,Relatively Low,76.001,4.706,2549.436,1525217888,4806,57486353223,Relatively Low,11256.03,22336.89,32.776,Relatively Low,24131.816,28.444,Relatively Low
Colorado,CO,Weld,4057.296,Very Low,Very High,Very High,4057.296,Very Low,Relatively Low,Relatively Low,239,7.012,4057.296,51427069727,328800,3870000000000,Relatively Low,1088997.539,2204414.495,95.689,Relatively High,2418401.222,95.577,Relatively Moderate,4057.296,No Rating,No Expected Annual Losses,No Rating,0.025,4057.296,51426761049,328800,3870000000000,Relatively Moderate,45820.077,173395.624,73.351,Relatively Moderate,190071.548,72.019,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,531,24.115,4057.296,51427069727,328800,3870000000000,Relatively Moderate,49813.125,662589.759,91.795,Relatively High,725117.224,91.184,Relatively High,Relatively Low,Relatively High,Relatively High,50,1.449,4057.296,51427069727,328800,3870000000000,Very Low,253255.577,775440.297,77.636,Relatively Moderate,854726.818,75.692,Relatively Moderate,6.192,4057.296,51427069727,328800,3870000000000,Very Low,9260796.501,14498643.85,96.402,Relatively High,15880835.68,96.277,Relatively High,55.432,3.432,4057.296,51427069536,328800,3870000000000,Very Low,178354.438,189127.54,81.523,Relatively Moderate,201284.244,79.415,Relatively Moderate
Colorado,CO,Yuma,2392.61,Relatively Low,Very High,Very High,2392.61,Very Low,Relatively Low,Relatively Low,269,7.883,2392.61,2898753789,9960,119000000000,Relatively High,363008.741,2210335.116,95.72,Relatively High,3206443.489,96.818,Relatively High,2392.61,No Rating,No Expected Annual Losses,No Rating,0.13,2392.61,2898753789,9960,118000000000,Relatively High,12797.829,52799.596,48.834,Relatively Low,76572.2,52.798,Relatively Low,Relatively Low,Relatively Low,Relatively Low,664,30.168,2392.61,2898753789,9960,118000000000,Relatively Moderate,904.349,48083.234,30.148,Relatively Low,69648.297,36.615,Relatively Low,Relatively Low,Very Low,Very Low,106,3.098,2392.61,2898753789,9960,119000000000,Relatively High,520922.656,986380.853,82.537,Relatively Moderate,1427237.095,87.241,Relatively Moderate,3.332,2392.61,2898753789,9960,119000000000,Relatively Low,668397.199,1225250.179,57.289,Relatively Low,1774477.039,62.17,Relatively Low,75,4.644,2392.61,2898753789,9960,119000000000,Relatively Moderate,6018.569,122355.206,73.011,Relatively Moderate,177201.115,77.06,Relatively Moderate
Montana,MT,Beaverhead,5629.197,Relatively Moderate,Very Low,Very Low,5629.197,Very Low,Relatively Low,Relatively Low,11,0.305,5629.197,3037193689,9351,112000000000,Relatively Moderate,10520.876,13157.823,16.594,Very Low,14175.9,13.331,Very Low,5629.197,No Rating,No Expected Annual Losses,No Rating,0.015,5629.197,3037193689,9351,112000000000,Relatively High,32.913,3850.802,10.293,Very Low,4325.948,9.927,Very Low,Relatively Low,Relatively Low,Relatively Low,189,8.584,5629.197,3037193689,9351,112000000000,Very High,558.177,50220.329,31.499,Relatively Low,56424.229,29.73,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,9,0.259,5629.197,3037193689,9351,112000000000,Relatively Moderate,17091.425,26785.51,10.763,Very Low,29167.442,7.668,Very Low,0.15,5629.197,3037193689,9351,112000000000,Very Low,11874.124,21480.149,8.033,Very Low,23421.246,5.727,Very Low,145.549,9.012,5629.197,3037193689,9351,112000000000,Relatively Low,549.608,65613.686,57.505,Relatively Moderate,73706.975,55.457,Relatively Low
Montana,MT,Big Horn,5066.754,Very Low,Relatively Low,Relatively Low,5066.754,Very Low,Relatively Low,Relatively Low,58,1.686,5066.754,3082749179,13034,154000000000,Relatively Low,15224.553,24336.069,25.186,Very Low,36303.383,27.14,Very Low,5066.754,Relatively Low,Relatively Low,Relatively Low,0.015,5066.754,3082749179,13034,154000000000,Relatively High,9967.057,12322.283,23.784,Very Low,18248.523,27.049,Very Low,Relatively Low,Relatively Low,Relatively Low,377,17.119,5066.754,3082749179,13034,154000000000,Very High,817.131,149298.162,66.345,Relatively Moderate,224096.135,72.201,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,30,0.863,5066.754,3082749179,13034,154000000000,Relatively Moderate,2878.002,116854.316,26.179,Relatively Low,176039.803,28.381,Relatively Low,0.361,5066.754,3082749179,13034,154000000000,Very Low,38974.106,49614.854,11.88,Very Low,73382.101,11.136,Very Low,107.853,6.678,5066.754,3082748898,13033.988,154000000000,Relatively Low,2015.88,82799.499,63.788,Relatively Moderate,122822.225,68.979,Relatively Moderate
Montana,MT,Blaine,4281.529,Relatively Low,Relatively High,Relatively High,4281.529,Very Low,Very Low,Very Low,22,0.645,4281.529,2004093673,7013,83458065299,Relatively Low,662.409,5279.865,9.491,Very Low,7753.386,8.4,Very Low,4281.529,Relatively Low,Relatively Low,Relatively Low,0.015,4281.529,2004093673,7013,83354893673,Relatively High,6479.579,7746.818,18.188,Very Low,10400.73,19.087,Very Low,Relatively Moderate,Relatively Low,Relatively Low,267,12.12,4281.529,2004093673,7013,83354893673,Relatively Moderate,1376.891,13450.792,8.237,Very Low,19618.3,10.94,Very Low,Relatively Low,Relatively Low,Relatively Low,21,0.599,4281.529,2004093673,7013,83458065299,Relatively Moderate,12197.641,26498.495,10.67,Very Low,35878.006,8.877,Very Low,0.166,4281.536,2004093673,7013,83458065299,Very Low,13856.849,17053.232,6.948,Very Low,23190.094,5.6,Very Low,100.017,6.193,4281.529,2004092870,7012.996,83458018281,Relatively Moderate,35071.287,116623.039,71.99,Relatively Moderate,165811.584,75.883,Relatively Moderate
Montana,MT,Broadwater,1250.606,Very Low,Relatively Low,Relatively Low,1250.606,Very Low,Very Low,Very Low,28,0.818,1250.606,1676851012,6753,80057169968,Relatively Moderate,44216.973,45068.629,36.725,Very Low,43920.633,30.703,Very Low,1250.606,No Rating,No Expected Annual Losses,No Rating,0.015,1250.606,1676851012,6753,80011651012,Relatively High,5421.547,6641.805,16.322,Very Low,6508.03,13.524,Very Low,Relatively Moderate,Relatively Low,Relatively Low,216,9.791,1250.606,1676851012,6753,80011651012,Very High,43.449,34294.554,22.78,Very Low,33888.677,19.176,Very Low,Relatively Moderate,Very Low,Very Low,18,0.504,1250.606,1676851012,6753,80057169968,Relatively Moderate,11978.592,30590.832,11.6,Very Low,30135.782,7.763,Very Low,0.035,1250.606,1676851012,6753,80057169968,Relatively Low,7433.937,16772.756,6.886,Very Low,16408.87,4.645,Very Low,133.43,8.262,1250.606,1676851012,6753,80057169968,Relatively Moderate,465.132,78682.063,62.086,Relatively Moderate,78092.01,57.079,Relatively Low
Montana,MT,Carbon,2082.187,Very Low,Relatively Low,Relatively Low,2082.187,Very Low,Relatively Low,Relatively Low,48,1.403,2082.187,3365746144,10455,125000000000,Relatively Moderate,68600.764,94917.054,52.109,Relatively Low,93017.788,46.58,Relatively Low,2082.187,Relatively Low,Relatively Moderate,Relatively Moderate,0.015,2082.187,3365746144,10455,125000000000,Relatively High,10882.035,12771.239,24.217,Very Low,12594.725,21.652,Very Low,Relatively Low,Relatively Low,Relatively Low,238,10.778,2082.187,3365746144,10455,125000000000,Very High,535.113,86288.729,49.035,Relatively Low,85772.892,43.597,Relatively Low,Relatively Low,Relatively Low,Relatively Low,24,0.697,2082.187,3365746144,10455,125000000000,Relatively Low,569,35803.909,12.438,Very Low,35359.329,8.75,Very Low,0.104,2082.187,3365746144,10455,125000000000,Relatively Low,58151.66,125988.143,17.525,Very Low,125232.561,13.968,Very Low,143.54,8.888,2082.187,3365746144,10455,125000000000,Relatively Low,2548.408,98226.142,67.874,Relatively Moderate,97161.246,62.743,Relatively Moderate
Montana,MT,Carter,3381.807,Relatively Low,Relatively Moderate,Relatively Moderate,3381.807,Very Low,Very Low,Very Low,92,2.695,3381.807,842698370,1400,17163721657,Relatively High,32441.574,36117.976,32.475,Very Low,41998.187,29.749,Very Low,3381.807,Relatively Low,Relatively Low,Relatively Low,0.052,3381.807,842698370,1400,17082698370,Relatively Moderate,672.604,1434.457,4.73,Very Low,1667.995,4.664,Very Low,Relatively High,Relatively Low,Relatively Low,621,28.207,3381.807,842698370,1400,17082698370,Relatively High,1841.283,9649.737,5.824,Very Low,11220.769,5.695,Very Low,Relatively Low,Very Low,Very Low,49,1.434,3381.807,842698370,1400,17163721657,Relatively Moderate,1374.15,14543.602,7.785,Very Low,16911.383,5.154,Very Low,0.418,3381.807,842698370,1400,17163721657,Relatively Low,31107.633,48298.309,11.694,Very Low,56161.548,9.29,Very Low,83.003,5.14,3381.807,842698370,1400,17163721657,Relatively High,64908.875,76525.857,61.622,Relatively Moderate,88984.701,60.579,Relatively Low
Montana,MT,Cascade,2738.828,Very Low,Very High,Very High,2738.828,Very Low,Relatively Low,Very Low,37,1.073,2738.828,18475746848,84327,997000000000,Very Low,450.507,5505.997,9.77,Very Low,6199.068,7.318,Very Low,2738.828,No Rating,No Expected Annual Losses,No Rating,0.015,2738.828,18475746848,84327,997000000000,Relatively High,59735.262,74973.034,55.13,Relatively Low,84801.731,54.63,Relatively Low,Very Low,Relatively Low,Relatively Low,186,8.453,2738.828,18475746848,84327,997000000000,Relatively Moderate,722.888,54972.97,34.846,Relatively Low,62108.659,32.4,Relatively Low,Very Low,Relatively Low,Relatively Low,24,0.698,2738.828,18475746848,84327,997000000000,Relatively Moderate,11503.564,370054.697,55.521,Relatively Moderate,416723.425,52.561,Relatively Low,0.129,2738.828,18475746848,84327,997000000000,Very Low,212942.52,252789.396,25.031,Very Low,285577.883,22.781,Very Low,223.258,13.824,2738.828,18475746848,84327,997000000000,Relatively Low,8571.399,1273863.302,98.483,Very High,1434202.879,98.568,Very High
Montana,MT,Chouteau,4037.042,Relatively Low,Relatively High,Relatively High,4037.042,Very Low,Relatively Low,Relatively Low,36,1.038,4037.042,3878871813,5879,72271017697,Relatively Low,2129.213,10642.891,14.392,Very Low,12996.869,12.377,Very Low,4037.042,Relatively Low,Relatively Low,Relatively Low,0.015,4037.042,3878871813,5879,72075271813,Very High,12541.059,13603.386,25.017,Very Low,16741.281,25.383,Very Low,Relatively Low,Relatively Low,Relatively Low,217,9.828,4037.042,3878871813,5879,72075271813,Very High,169.402,28752.993,19.273,Very Low,35293.212,19.884,Very Low,No Rating,No Expected Annual Losses,No Rating,28,0.801,4037.042,3878871813,5879,72271017697,Relatively Moderate,24475.456,32545.68,11.973,Very Low,39608.094,9.64,Very Low,0.252,4037.042,3878871813,5879,72271017697,Relatively Low,62080.112,66543.299,13.524,Very Low,84603.467,11.899,Very Low,131,8.111,4037.042,3878871813,5879,72271017697,Relatively Moderate,12136.004,64130.607,57.072,Relatively Moderate,78579.73,57.556,Relatively Low
Montana,MT,Custer,3831.491,Relatively Low,Relatively Moderate,Relatively Moderate,3831.491,Very Low,Very Low,Very Low,66,1.933,3831.491,3118157668,11841,141000000000,Relatively Low,21.722,19911.566,22.053,Very Low,21098.1,18.613,Very Low,3831.491,Relatively Low,Relatively Low,Relatively Low,0.015,3831.491,3118157668,11841,140000000000,Relatively High,10081.539,12221.191,23.684,Very Low,12725.331,21.952,Very Low,Relatively Low,Relatively Low,Relatively Low,503,22.849,3831.491,3118157668,11841,140000000000,Very High,5978.825,184052.968,71.622,Relatively Moderate,196671.316,68.79,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,35,1.022,3831.491,3118157668,11841,141000000000,Relatively Moderate,12876.521,114517.742,25.837,Relatively Low,120282.226,21.54,Very Low,0.226,3831.491,3118157668,11841,141000000000,Relatively Low,49487.705,113164.731,16.532,Very Low,114214.214,13.268,Very Low,53.005,3.282,3831.491,3118157668,11841,141000000000,Relatively High,105954.446,168417.28,79.109,Relatively Moderate,176349.723,76.965,Relatively Moderate
Montana,MT,Daniels,1441.062,Relatively Low,Relatively Moderate,Relatively Moderate,1441.062,Very Low,Very Low,Very Low,49,1.441,1441.062,1764898474,1661,21080855211,Very High,66988.815,89364.057,50.9,Relatively Low,88184.602,45.275,Relatively Low,1441.062,Relatively Low,Relatively Low,Relatively Low,0.015,1441.062,1764898474,1661,21032498474,Very High,5706.22,6006.36,15.09,Very Low,5927.086,12.592,Very Low,Relatively High,Relatively Low,Very Low,324,14.697,1441.062,1764898474,1661,21032498474,Relatively High,990.867,7298.329,4.118,Very Low,7202.004,3.346,Very Low,No Rating,No Expected Annual Losses,No Rating,40,1.169,1441.062,1764898474,1661,21080855211,Relatively High,61974.399,86551.326,21.588,Relatively Low,85408.994,16.958,Very Low,0.117,1441.067,1764898474,1661,21080855211,Relatively Moderate,36135.346,47224.487,11.476,Very Low,46601.203,8.431,Very Low,60.012,3.716,1441.062,1764898474,1661,21080855211,Relatively High,35464.623,47985.395,50.418,Relatively Low,47352.068,44.384,Relatively Low
