state,City,County,,,Rural Health Clinics,,,Critical Access Hospitals,,,Hospitals,
wyoming,"Platte Valley Healthcare Project
 dba/North Platte Valley Medical Center
 1300 West Bridge Ave.
 Saratoga WY 82331",Carbon County,,,,,,,,,,
wyoming,"Memorial Hospital of Sheridan County
 dba/Sheridan Memorial Hospital
 1401 West 5th St.
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Canyons ICF/MR at Wyoming Life Resource Center
 8204 Wyoming Highway 789
 Lander WY 82520",Fremont County,,,,,,,,,,
wyoming,"Star Valley Care Center
 130 Hospital Lane
 Afton WY 83110",Lincoln County,,,,,,,,,,
wyoming,"Wyoming Retirement Center
 890 Highway 20 So
 Basin WY 82410",Big Horn County,,,,,,,,,,
wyoming,"Amie Holt Care Center
 dba/Johnson County Healthcare Center
 497 West Lott
 Buffalo WY 82834",Johnson County,,,,,,,,,,
wyoming,"Wyoming Veterans' Skilled Nursing Facility
 700 Veterans' Lane
 Buffalo WY 82834",Johnson County,,,,,,,,,,
wyoming,"Casper Opco LLC
 dba/Casper Mountain Rehabilitation and Care Center
 4305 South Poplar Street
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Casper Operations LLC
 dba/Life Care Center of Casper
 4041 South Poplar St.
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"EmpRes at Casper LLC
 dba/Shepherd of the Valley Rehabilitation and Wellness
 60 Magnolia Street
 Casper WY 82604",Natrona County,,,,,,,,,,
wyoming,"Cheyenne Operations LLC
 dba/Life Care Center of Cheyenne
 1330 Prairie Ave.
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"EmpRes at Cheyenne LLC
 dba/Granite Rehabilitation and Wellness
 3128 Boxelder Dr.
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Cheyenne OpCo LLC
 dba/Polaris Rehabilitation and Care Center
 2700 East 12th St.
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"West Park Hospital District 
 dba/Cody Regional Health Long Term Care Center
 707 Sheridan Ave.
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"Douglas Care Center LLC
 1108 Birch St.
 Douglas WY 82633",Converse County,,,,,,,,,,
wyoming,"North Big Horn Hospital District
 dba/Rocky Mountain Care - Evanston
 475 Yellow Creek Rd
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Morning Star Care Center
 4 North Fork Rd
 Fort Washakie WY 82514",Fremont County,,,,,,,,,,
wyoming,"Campbell County Hospital District
 dba/Legacy Living and Rehabilitation Center
 1000 S Douglas Hwy
 Gillette WY 82716",Campbell County,,,,,,,,,,
wyoming,"Mission Health Services
 dba/Mission at Castle Rock 
 1445 Uinta Dr.
 Green River WY 82935",Sweetwater County,,,,,,,,,,
wyoming,"Teton County Hospital District
 dba/St John's Health Sage Living
 625 East Broadway, Building B
 Jackson WY 83001",Teton County,,,,,,,,,,
wyoming,"South Lincoln Nursing Center
 711 Onyx St.
 Kemmerer WY 83101",Lincoln County,,,,,,,,,,
wyoming,"Mountain View Skilled Nursing Community at Wyoming Life Resource Center
 8204 Wyoming State Highway 789
 Lander WY 82520",Fremont County,,,,,,,,,,
wyoming,"Westward Heights Care Center
 150 Caring Way
 Lander WY 82520",Fremont County,,,,,,,,,,
wyoming,"Cottonwood Health and Rehabilitation
 503 South 18th St.
 Laramie WY 82070",Albany County,,,,,,,,,,
wyoming,"New Horizons Care Center
 1111 Lane 12
 Lovell WY 82431",Big Horn County,,,,,,,,,,
wyoming,"Weston County Hospital District
 dba/Weston County Health Services
 1124 Washington Blvd
 Newcastle WY 82701",Weston County,,,,,,,,,,
wyoming,"Sublette County Health
 333 North Bridger Ave
 Pinedale WY 82941",Sublette County,,,,,,,,,,
wyoming,"Powell Valley Care Center
 777 Ave. H
 Powell WY 82435",Park County,,,,,,,,,,
wyoming,"EmpRes at Rawlins LLC
 dba/Rawlins Rehabilitation and Wellness
 542 16th St.
 Rawlins WY 82301",Carbon County,,,,,,,,,,
wyoming,"EmpRes at Riverton LLC
 dba/Wind River Rehabilitation and Wellness
 1002 Forest Dr.
 Riverton WY 82501",Fremont County,,,,,,,,,,
wyoming,"EmpRes at Rock Springs LLC
 dba/Sage View Care Center
 1325 Sage St.
 Rock Springs WY 82901",Sweetwater County,,,,,,,,,,
wyoming,"Alternative Elder Living Inc.
 dba/Green House Living for Sheridan
 2311 Shirley Cove
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Sheridan Opco LLC
 dba/Big Horn Rehabilitation and Care Center
 1851 Big Horn Ave.
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Westview Operations LLC
 dba/Westview Health Care Center
 1990 West Loucks St.
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Crook County Medical Services District Long Term Care
 713 Oak St.
 Sundance WY 82729",Crook County,,,,,,,,,,
wyoming,"EmpRes at Thermopolis LLC
 dba/Thermopolis Rehabilitation and Wellness
 1210 Canyon Hills Rd
 Thermopolis WY 82443",Hot Springs County,,,,,,,,,,
wyoming,"Goshen Healthcare Community
 2009 Laramie St.
 Torrington WY 82240",Goshen County,,,,,,,,,,
wyoming,"Platte County Legacy Home
 100 19th St.
 Wheatland WY 82201",Platte County,,,,,,,,,,
wyoming,"SNH WY Tenant LLC 
 dba/Worland Healthcare and Rehabilitation Center
 1901 Howell Ave.
 Worland WY 82401",Washakie County,,,,,,,,,,
wyoming,"Rocky Mountain Therapy
 2546 E 2nd St. Bldg. 500
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Laramie Peaks Therapies LLC
 207 Holly Ave.
 Saratoga WY 82331",Carbon County,,,,,,,,,,
wyoming,"Bear Lodge Rehabilitation Services
 225 S Hwy 585
 Sundance WY 82729",Crook County,,,,,,,,,,
wyoming,"UHS of Wyoming Inc.
 dba/Wyoming Behavioral Institute
 2521 East 15th St.
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Wyoming State Hospital
 251 Yellowstone River Road
 Evanston WY 82931",Uinta County,,,,,,,,,,
wyoming,"Wyoming Behavioral Health
 2521 East 15th St.
 Casper WY 82609",Natrona County,,,,,,,,,,
wyoming,"St Joseph's Children's Home
 1419 Main St.
 Torrington WY 82240",Goshen County,,,,,,,,,,
wyoming,"Big Horn Clinic
 156 North 6th St.
 Basin WY 82410",Big Horn County,,,,,,,,,,
wyoming,"West Park Hospital District 
 dba/Cody Regional Health Basin Rural Health Clinic
 525 N 5th Street
 Basin WY 82410",Big Horn County,,,,,,,,,,
wyoming,"Midway Clinic
 388 Highway 20 So
 Basin WY 82410",Big Horn County,,,,,,,,,,
wyoming,"SCL Health Medical Group-Billings LLC
 dba/Intermountain Health Cody Clinic
 424 Yellowstone Ave, Suite 310
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"West Park Hospital District 
 dba/Cody Regional Health 
 424 Yellowstone Ave.
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"South Lincoln Hospital District
 dba/Arrowhead Family Medicine
 195 Feather Way Suite 100
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Glenrock Hospital District
 dba/Glenrock Health Center
 925 West Birch
 Glenrock WY 82637",Converse County,,,,,,,,,,
wyoming,"Castle Rock Hospital District
 1400 Uinta Dr.
 Green River WY 82935",Sweetwater County,,,,,,,,,,
wyoming,"Platte County Memorial Hospital
 dba/Banner Medical Clinic Guernsey
 1 E Whalen Street
 Guernsey WY 82214",Platte County,,,,,,,,,,
wyoming,"Register Cliff Rural Health Clinic
 650 W Whalen St.
 Guernsey WY 82214",Platte County,,,,,,,,,,
wyoming,"Hulett Clinic
 122 Main St.
 Hulett WY 82720",Crook County,,,,,,,,,,
wyoming,"South Lincoln Hospital District
 dba South Lincoln Medical Clinic
 711 Onyx Street
 Kemmerer, WY 83101-3212",Lincoln County,,,,,,,,,,
wyoming,"North Big Horn Hospital Clinic
 1115 Lane 12
 Lovell WY 82431",Big Horn County,,,,,,,,,,
wyoming,"Rawhide Rural Health Clinic
 921 Ballancee Ave.
 Lusk WY 82225",Niobrara County,,,,,,,,,,
wyoming,"Evanston Hospital Corporation
 dba/Bridger Valley Medical Group
 107 North Main St.
 Lyman WY 82937",Uinta County,,,,,,,,,,
wyoming,"Medicine Bow Health Center
 dba/Medicine Bow Rural Healthcare District
 514 Idaho Dr.
 Medicine Bow WY 82329",Carbon County,,,,,,,,,,
wyoming,"Moorcroft Clinic
 208 North Big Horn
 Moorcroft WY 82721",Crook County,,,,,,,,,,
wyoming,"Evanston Hospital Corporation
 dba/Bridger Valley Medical Group
 531 Parkway Dr.
 Mountain View WY 82939",Uinta County,,,,,,,,,,
wyoming,"Weston County Hospital District
 1121 Washington Blvd
 Newcastle WY 82701",Weston County,,,,,,,,,,
wyoming,"Kimball County Hospital
 dba/Pine Bluffs KHS Health Clinic
 117 E 4 St.
 Pine Bluffs WY 82082",Laramie County,,,,,,,,,,
wyoming,"Hot Springs County Hospital District
 dba/Hot Springs Health Riverton
 2002 W. Sunset Dr., Ste. 3
 Riverton WY 82501",Fremont County,,,,,,,,,,
wyoming,"Oregon Trails
 525 Birch St.
 Rolling Hills WY 82637",Converse County,,,,,,,,,,
wyoming,"Sundance Clinic
 713 Oak St.
 Sundance WY 82729",Crook County,,,,,,,,,,
wyoming,"Hot Springs County Hospital District
 dba/Hot Springs Health Thermopolis
 120 North C Ave.
 Thermopolis WY 82443",Hot Springs County,,,,,,,,,,
wyoming,"Hot Springs County Hospital District
 dba/Hot Springs Health Shoshoni 
 150 E Arapahoe St
 Thermopolis WY 82443",Hot Springs County,,,,,,,,,,
wyoming,"Community Hospital
 dba/Banner Medical Clinic Torrington
 625 Albany Ave.
 Torrington WY 82240",Goshen County,,,,,,,,,,
wyoming,"Weston County Health Services
 dba/Weston County Health Services
 717 Pine St.
 Upton WY 82730",Weston County,,,,,,,,,,
wyoming,"Platte County Memorial Hospital
 dba/Banner Medical Clinic Wheatland
 201 14th St., Annex Bldg.
 Wheatland WY 82201",Platte County,,,,,,,,,,
wyoming,"Hot Springs Health Worland
 1125 Charles Ave.
 Worland WY 82401",Washakie County,,,,,,,,,,
