FACILITY NAME,ID NUMBER,TELEPHONE,ADDRESS,UNIT,CITY,COUNTY,ZIP,LICENSE TYPE,CAPACITY,,Mammography,,,Home Health Agency,,,Hospice,,,Ambulatory Surgical Facility,,,Hospital,,,Assisted Living Facility - Type I,,,Assisted Living Facility - Type II,,,End Stage Renal Disease Facility,,,Birthing Center,,,Abortion Clinic,,,Nursing Care Facility,,,Small Health Care Facility,,,Small Health Care Facility - Type N,,Personal Care Agency,
Escalante at Coventry I,F23-106777,8019435858,6898 South 2300 East,,Cottonwood Heights,Salt Lake,84121,Assisted Living Facility - Type I,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalante at Coventry II,F23-106606,8019435858,6898 South 2300 East,,Cottonwood Heights,Salt Lake,84121,Assisted Living Facility - Type II,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalante at Coventry III,F23-106684,8019435858,6895 South Whitmore Way,,Cottonwood Heights,Salt Lake,84121,Assisted Living Facility - Type II,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Village Of Layton,F23-107016,8018070112,1201 North Fairfield Road,,Layton,Davis,84041,Assisted Living Facility - Type II,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Tree Of West Point,F23-106689,8017758733,421 North 3150 West,,West Point,Davis,84015,Assisted Living Facility - Type II,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Tree of Morgan,F23-106587,8018295120,862 East Mahogany Ridge Road,,Morgan,Morgan,84050,Assisted Living Facility - Type II,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmington Bay Dialysis,F23-106534,8015939111,942 South Main Street,,Layton,Davis,84041,End Stage Renal Disease Facility,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmington Health Center - Mammography Clinic,F23-107032,8012136611,165 North University Ave,,Farmington,Davis,84025,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fillmore Community Hospital Mammography,F23-106783,4357431531,674 South Highway 99,,Fillmore,Millard,84631,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foothill Family Clinic, LLC",F23-108494,8013651032,6360 South 3000 East,Suite 100,Salt Lake City,Salt Lake,84121,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresenius Kidney Care Magna Dialysis,F23-106652,8019074916,8087 West 3500 South,,Magna,Salt Lake,84044,End Stage Renal Disease Facility,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresenius Kidney Care Oquirrh,F23-106754,8019829726,5320 South 2700 West,,Taylorsville,Salt Lake,84129,End Stage Renal Disease Facility,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresenius Kidney Care Pleasant View,F23-106787,8017379664,1735 West 2700 North,,Farr West,Weber,84404,End Stage Renal Disease Facility,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresenius Kidney Care Utah Valley,F23-106719,8018023852,121 South Orem Boulevard,Suite 101,Orem,Utah,84058,End Stage Renal Disease Facility,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresenius Kidney Care Wasatch,F23-106584,8019044407,3702 South State Street,Suite 101,South Salt Lake,Salt Lake,84115,End Stage Renal Disease Facility,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresenius Kidney Care West Salt Lake,F23-106467,8019669978,4101 West Pioneer Parkway,Suite 101,West Valley City,Salt Lake,84120,End Stage Renal Disease Facility,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresenius Medical Care Cedar City LLC,F23-106445,4358678163,1320 North Main St,Suite 105,Cedar City,Iron,84721,End Stage Renal Disease Facility,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresenius Medical Care Riverton Dialysis,F23-106848,8012546990,12523 South Creek Meadow Road,,Riverton,Salt Lake,84065,End Stage Renal Disease Facility,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gables Of Brigham City,F23-106715,4352398780,997 South 800 West,,Brigham City,Box Elder,84302,Assisted Living Facility - Type II,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gables Of North Logan Assisted Living,F23-106704,2083573323,455 East 2500 North,,North Logan,Cache,84341,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardens Assisted Living,F23-106578,8013941400,1450 9Th Street,,Ogden,Weber,84404,Assisted Living Facility - Type I,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield Memorial Hospital Mammography,F23-106667,4356761280,200 North 400 East,,Panguitch,Garfield,84759,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Skyline Assisted Living,F23-106490,4352834922,76 North 100 West,,Ephraim,Sanpete,84627,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Skyline Assisted Living #2,F23-107009,4352834922,76 North 100 West,,Ephraim,Sanpete,84627,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Life Senior Living,F23-106799,4356532555,15 West 100 North,,Elmo,Emery,84521,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Life Senior Living Mount Pleasant,F23-106591,4354629494,160 East 200 North,,Mount Pleasant,Sanpete,84647,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Life Senior Living Price,F23-106441,4356364483,1025 West 470 North,,Price,Carbon,84501,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood Health Center - Mammography,F23-107054,8012139643,7495 South State Street,,Midvale,Salt Lake,84047,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnison Valley Hospital Mammography,F23-106750,4355287246,64 East 100 North,,Gunnison,Sanpete,84634,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haven At Sky Mountain,F23-106485,4356747883,2192 West 100 North,,Hurricane,Washington,84737,Assisted Living Facility - Type II,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haven Creek Assisted Living by Rocky Mountain Care,F23-107072,8017320060,4607 Midland Drive,,West Haven,Weber,84401,Assisted Living Facility - Type II,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearthstone Manor Assisted Living,F23-106891,8017981500,1424 South 1700 East,,Spanish Fork,Utah,84660,Assisted Living Facility - Type II,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heber Valley Assisted Living,F23-106963,4356572536,905 Southfield Road,,Heber City,Wasatch,84032,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heber Valley Dialysis,F23-106862,4356574680,380 East 1500 South,Suite 101,Heber City,Wasatch,84032,End Stage Renal Disease Facility,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heber Valley Medical Center Mammography,F23-106514,4356574397,1485 South Highway 40,,Heber City,Wasatch,84032,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heirloom Inn,F23-106890,4356368441,145 North Carbon Avenue,,Price,Carbon,84501,Assisted Living Facility - Type II,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heritage Gardens Of Springville, Utah, LLC",F23-106880,8014893344,321 East 800 South,,Springville,Utah,84663,Assisted Living Facility - Type II,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Home,F23-106683,4356357678,45 North 100 West,,Hurricane,Washington,84737,Assisted Living Facility - Type I,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hidden Valley Assisted Living, LLC",F23-107037,8016890500,1401 Shadow Valley Drive,,Ogden,Weber,84403,Assisted Living Facility - Type II,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Cove Retirement Community,F23-106505,8012728226,3750 South Highland Drive,,Salt Lake City,Salt Lake,84106,Assisted Living Facility - Type I,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Glen,F23-107018,8016103500,10322 North 4800 West,,Highland,Utah,84003,Assisted Living Facility - Type II,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holladay Home For The Elderly,F23-106741,8012778371,5950 South Highland Drive,,Holladay,Salt Lake,84121,Assisted Living Facility - Type I,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntsman Comprehensive Breast Care Center,F23-106687,8015874602,1950 Circle of Hope Drive,,Salt Lake City,Salt Lake,84112,Mammography,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurricane Dialysis,F23-106597,4356350399,48 South 2500 West,Unit 100,Hurricane,Washington,84737,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Bountiful Clinic,F23-106949,8013976386,390 North Main Street,,Bountiful,Davis,84010,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Healthcare Mobile Mammography,F23-107047,8015077846,5063 South Cottonwood Street,,Murray,Salt Lake,84107,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Hurricane Valley Clinic,F23-106842,4356356462,75 North 2260 West,,Hurricane,Washington,84737,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Layton Clinic,F23-106931,8017796311,2075 University Park Boulevard,,Layton,Davis,84041,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Medical Center Dialysis Services,F23-106761,8015079000,74 West Vine Street,,Murray,Salt Lake,84107,End Stage Renal Disease Facility,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain Medical Center Mammography,F23-106988,8015077835,5121 South Cottonwood Street,,Murray,Salt Lake,84107,Mammography,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermountain North Ogden Clinic,F23-106444,8017867525,2400 North Washington Boulevard,,North Ogden,Weber,84414,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Mission Dialysis,F23-106826,4358678175,1277 North Northfield Road,Suite A-100,Cedar City,Iron,84720,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewels Legacy Garden,F23-107046,4355310229,380 North 500 West,,Beaver,Beaver,84713,Assisted Living Facility - Type I,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolff Dialysis,F23-106677,3854333146,423 South Wakara Way,Suite 200,Salt Lake City,Salt Lake,84108,End Stage Renal Disease Facility,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Ridge Senior Living - North,F23-107070,8012256559,960 South Geneva Road,,Orem,Utah,84058,Assisted Living Facility - Type II,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Ridge Senior Living - South,F23-106906,8012256559,960 South Geneva Road,,Orem,Utah,84058,Assisted Living Facility - Type I,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeview Elderly Care,F23-106506,8017857130,933 East Grove Drive,,Pleasant Grove,Utah,84062,Assisted Living Facility - Type I,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeview Hospital Mammography,F23-106515,8012993822,620 East Medical Drive,Suite 350,Bountiful,Davis,84010,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Groves Assisted Living,F23-106941,4356235000,549 North 400 East,,Nephi,Juab,84648,Assisted Living Facility - Type II,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lds Hospital Mammography,F23-106668,8015077835,8Th Avenue And C Street,,Salt Lake City,Salt Lake,84143,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy House Assisted Living Of South Jordan,F23-106580,8012540373,1517 West Temple Lane,,South Jordan,Salt Lake,84095,Assisted Living Facility - Type II,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy House Of Bountiful,F23-106742,8012942925,79 East Center Street,,Bountiful,Davis,84010,Assisted Living Facility - Type II,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy House Of Logan Assisted Living,F23-106821,4357552877,330 East 1400 North,,Logan,Cache,84341,Assisted Living Facility - Type II,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy House Of Ogden,F23-107074,8014767111,5526 South Adams Avenue,,Ogden,Weber,84405,Assisted Living Facility - Type II,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy House Of Park Lane,F23-106483,8019394600,547 North Station Parkway,,Farmington,Davis,84025,Assisted Living Facility - Type II,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy House Of Spanish Fork,F23-106938,8018922000,1449 East 150 South,,Spanish Fork,Utah,84660,Assisted Living Facility - Type II,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy House Of Taylorsville,F23-106686,8013278400,6302 South Gold Medal Drive,,Taylorsville,Salt Lake,84129,Assisted Living Facility - Type II,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Village Memory Care,F23-106539,8016134605,5472 South 3200 West,,Taylorsville,Salt Lake,84129,Assisted Living Facility - Type II,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Village Of Provo,F23-107012,8013743384,4146 North University Ave,,Provo,Utah,84604,Assisted Living Facility - Type II,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Village Of Sugar House,F23-106468,8014866000,1212 East Wilmington Avenue,,Salt Lake City,Salt Lake,84106,Assisted Living Facility - Type II,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Village St George,F23-106648,4353754800,1379 West Sky Rocket Road,,Saint George,Washington,84770,Assisted Living Facility - Type II,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Dialysis - Layton,F23-106442,8017796104,2132 North 1700 West,Suite 120,Layton,Davis,84041,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Dialysis - Ogden,F23-106775,8013941230,4780 Old Post Road,,Ogden,Weber,84403,End Stage Renal Disease Facility,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Dialysis - St George,F23-106845,4356564596,624 South 1000 East,Suite 101,Saint George,Washington,84790,End Stage Renal Disease Facility,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Dialysis - West Jordan,F23-106857,8012804600,3823 West 9000 South,Suite D,West Jordan,Salt Lake,84088,End Stage Renal Disease Facility,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Dialysis - Woods Cross,F23-106926,8012922658,572 West 750 South,Bldg B,Woods Cross,Davis,84010,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Health Center,F23-106630,4355570233,550 North Main Street,#117,Logan,Cache,84321,Abortion Clinic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Regional Hospital Dialysis Center,F23-106833,4357162917,"550 East 1400 North, Suite K",,Logan,Cache,84341,End Stage Renal Disease Facility,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Regional Hospital Mammography,F23-106669,4357165243,1400 North 500 East,,Logan,Cache,84341,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Peak Dialysis,F23-106925,8017631304,1175 East 50 South,Suite 111,American Fork,Utah,84003,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Peak Women's Imaging - Mammography,F23-106455,8015458129,11925 South State Street,,Draper,Salt Lake,84020,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus Park Assisted Living,F23-106711,8017325290,3518 South 2625 West,,West Haven,Weber,84401,Assisted Living Facility - Type I,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus Park Care Centers,F23-106937,8017325290,2639 West 3520 South,,West Haven,Weber,84401,Assisted Living Facility - Type II,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSM Brigham City,F23-106793,4353105800,1010 South Medical Drive,,Brigham City,Box Elder,84302,Assisted Living Facility - Type II,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Springs,F23-106933,4357239100,1040 South Medical Drive,,Brigham City,Box Elder,84302,Assisted Living Facility - Type II,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Springs Of North Logan,F23-106930,4357539400,350 East 2200 North,,North Logan,Cache,84341,Assisted Living Facility - Type II,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Lindsay Dialysis,F23-106854,3852062175,1151 East Country Hills Drive,,Ogden,Weber,84403,End Stage Renal Disease Facility,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mckay Dee Hospital Center Mammography,F23-107077,8016981019,4401 Harrison Blvd,Suite 4495,Ogden,Weber,84403,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadow Peak Assisted Living,F23-106475,3852551105,6084 South Summit Vista Boulevard,,Taylorsville,Salt Lake,84129,Assisted Living Facility - Type II,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medallion Manor,F23-106762,8013752710,1701 West 600 South,,Provo,Utah,84601,Nursing Care Facility,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medallion Supported Living,F23-107004,8013752710,651 East 200 South,,Lehi,Utah,84043,Small Health Care Facility,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medallion Supported Living - Payson,F23-106540,8014658414,1431 East Highway 198,,Payson,Utah,84651,Small Health Care Facility,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medallion Supported Living-Springville,F23-106621,8014912208,469 North Main Street,,Springville,Utah,84663,Small Health Care Facility,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mermaid Tales Birth Center,F23-106553,8016430604,48 South 100 East,,Brigham City,Box Elder,84302,Birthing Center,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mesa Vista, Inc",F23-107085,8012259292,394 West 400 North,,Orem,Utah,84057,Nursing Care Facility,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Health Center,F23-106545,3853553272,160 South 1000 East,# 120,Salt Lake City,Salt Lake,84102,Abortion Clinic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission At Community Assisted Living,F23-106438,4355282800,10 West 400 South,,Centerfield,Sanpete,84622,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moab Regional Hospital Mammography,F23-106987,4357193697,450 West Williams Way,,Moab,Grand,84532,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe Canyon Assisted Living,F23-106763,4355278870,535 South Main Street,,Monroe,Sevier,84754,Assisted Living Facility - Type II,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain View Hospital Mammography,F23-106670,8014657000,1000 East 100 North,,Payson,Utah,84651,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain West Medical Center Mammography,F23-106671,4358433700,2055 North Main Street,,Tooele,Tooele,84074,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt Nebo Dialysis,F23-106789,8017987903,555 West State Road Sr 164,Suite 101,Salem,Utah,84653,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Family Birth Center,F23-106868,8019176104,5319 South 500 East,Suite C,Ogden,Weber,84405,Birthing Center,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Family Birth Center of Layton,F23-108839,8019176104,1660 West Antelope Drive,Suite 205 & 225,Layton,Davis,84041,Birthing Center,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niitsuma Living Center,F23-106645,8012691230,4347 South 700 East,,Salt Lake City,Salt Lake,84107,Assisted Living Facility - Type I,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Ridge Assisted Living,F23-106595,8012953225,463 West Rawlins Circle,,Centerville,Davis,84014,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Ridge Assisted Living of Bountiful,F23-106731,8012953171,905 West 4000 South,,Bountiful,Davis,84010,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogden Clinic,F23-106838,8014753836,4650 Harrison Boulevard,,Ogden,Weber,84403,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogden Regional Medical Center Mammography,F23-106990,8014792653,5475 South 500 East,,Ogden,Weber,84405,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchard View Assisted Living & Memory Care,F23-106945,8018515300,1173 South Turf Farm Road,,Payson,Utah,84651,Assisted Living Facility - Type II,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orem Community Hospital Mammography,F23-106751,8017143332,331 North 400 West,,Orem,Utah,84057,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orem Dialysis,F23-107049,3853143554,490 South State Street,,Orem,Utah,84058,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our House Of Cedar City,F23-106965,4358670055,995 South Regency Road,,Cedar City,Iron,84720,Assisted Living Facility - Type II,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our House Of Tooele,F23-106488,4358435100,251 East 1000 North,,Tooele,Tooele,84074,Assisted Living Facility - Type II,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our House Of Tremonton,F23-106721,4352575658,429 North 400 West,,Tremonton,Box Elder,84337,Assisted Living Facility - Type II,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our House of Ogden,F23-107014,8017824444,446 North Jefferson Avenue,,Ogden,Weber,84404,Assisted Living Facility - Type II,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovation At Sienna Hills,F23-106716,4354290000,1510 East Ovation Place,,Washington,Washington,84780,Assisted Living Facility - Type II,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park City Hospital Mammography,F23-106619,4356587000,900 Round Valley Drive,,Park City,Summit,84060,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkside Manor,F23-106564,4357228662,822 West Lagoon Street,,Roosevelt,Duchesne,84066,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petersen Farms Assisted Living And Memory Care,F23-106885,8014796000,6980 South 475 East,,South Weber,Weber,84405,Assisted Living Facility - Type II,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pheasant View Assisted Living, LLC",F23-106454,8015464100,1242 East Pheasant View Drive,,Layton,Davis,84041,Assisted Living Facility - Type II,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineview Assisted Living Of Eden,F23-106546,8017456667,2547 North Valley Junction Drive,,Eden,Weber,84310,Assisted Living Facility - Type II,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planned Parenthood Salt Lake Clinic,F23-106947,3852538217,654 South 900 East,,Salt Lake City,Salt Lake,84102,Abortion Clinic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleasant View Dialysis,F23-106694,3852062812,2715 North Highway 89,,Ogden,Weber,84404,End Stage Renal Disease Facility,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Family Medical - American Fork,F23-106968,8018553841,226 North 1100 East,,American Fork,Utah,84003,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Family Medical - Lindon,F23-106806,8017961333,275 West 200 North,Suite 204,Lindon,Utah,84042,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Children's Dialysis Center,F23-107026,8016621000,81 North Mario Capecchi Drive,,Salt Lake City,Salt Lake,84113,End Stage Renal Disease Facility,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primrose of Washington,F23-106474,6052263300,5190 South Washington Fields Road,,Washington,Washington,84780,Assisted Living Facility - Type II,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quail Meadow Assisted Living, LLC",F23-106548,8017827440,786 East 2100 North,,North Ogden,Weber,84414,Assisted Living Facility - Type II,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raintree Senior Living,F23-107011,8016218733,2063 West 1900 South,,Syracuse,Davis,84075,Assisted Living Facility - Type II,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Cliffs Assisted Living,F23-106770,4356234242,338 South 400 East,,Nephi,Juab,84648,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
